[=] Session log /home/kali/.proxmark3/logs/log_20260105192541.txt
[+] loaded `/home/kali/.proxmark3/preferences.json`
[+] execute command from commandline: trace load -f grand-classic.trace; trace list -1 -t mf

[=] OFFLINE mode. Check "proxmark3 -h" if it's not what you want.

[offline|script] pm3 --> trace load -f grand-classic.trace
[+] Loaded 7849 bytes from binary file `grand-classic.trace`
[+] Recorded Activity (TraceLen = 7849 bytes)
[?] try `trace list -1 -t ...` to view trace.  Remember the `-1` param
[offline|script] pm3 --> trace list -1 -t mf
[+] Recorded activity ( 7849 bytes )
[=] start = start of start frame. end = end of frame. src = source of transfer.
[=] ISO14443A - all times are in carrier periods (1/13.56MHz)

      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |        992 | Rdr |52(7)                                                                    |     | WUPA
    2660224 |    2661216 | Rdr |52(7)                                                                    |     | WUPA
    5320080 |    5321072 | Rdr |52(7)                                                                    |     | WUPA
    5322324 |    5324692 | Tag |04  00                                                                   |     | 
    5332112 |    5336880 | Rdr |50  00  57  CD                                                           |  ok | HALT
    6204064 |    6205056 | Rdr |52(7)                                                                    |     | WUPA
    6206308 |    6208676 | Tag |04  00                                                                   |     | 
    6216080 |    6218544 | Rdr |93  20                                                                   |     | ANTICOLL
    6219732 |    6225620 | Tag |46  43  53  43  15                                                       |     | 
    8113328 |    8114320 | Rdr |52(7)                                                                    |     | WUPA
    8115572 |    8117940 | Tag |04  00                                                                   |     | 
    8125344 |    8130112 | Rdr |50  00  57  CD                                                           |  ok | HALT
    8997280 |    8998272 | Rdr |52(7)                                                                    |     | WUPA
    8999524 |    9001892 | Tag |04  00                                                                   |     | 
    9009296 |    9011760 | Rdr |93  20                                                                   |     | ANTICOLL
    9012948 |    9018836 | Tag |46  43  53  43  15                                                       |     | 
    9026176 |    9036704 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
    9037892 |    9041412 | Tag |08  B6  DD                                                               |  ok | 
    9108256 |    9113024 | Rdr |50  00  57  CD                                                           |  ok | HALT
    9157808 |    9158800 | Rdr |52(7)                                                                    |     | WUPA
    9160036 |    9162404 | Tag |04  00                                                                   |     | 
    9169824 |    9180352 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
    9181540 |    9185060 | Tag |08  B6  DD                                                               |  ok | 
    9224528 |    9229296 | Rdr |50  00  57  CD                                                           |  ok | HALT
    9278704 |    9279696 | Rdr |52(7)                                                                    |     | WUPA
    9280932 |    9283300 | Tag |04  00                                                                   |     | 
    9290720 |    9301248 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
    9302420 |    9305940 | Tag |08  B6  DD                                                               |  ok | 
    9353072 |    9357840 | Rdr |60  04  D1  3D                                                           |  ok | AUTH-A(4)
    9359796 |    9364532 | Tag |06  88  47  A7                                                           |     | AUTH: nt (lfsr16 index 18004)
    9375456 |    9384832 | Rdr |e8! 2D  C6  75  1A  AA  7F  A2                                           |     | AUTH: nr ar (enc)
    9551968 |    9556672 | Rdr |c0! 2B  72  5d!                                                          |     | DEC(43)
    9733872 |    9738576 | Rdr |9D  29! 0c! a2!                                                          |  !! | 
    9915200 |    9919904 | Rdr |57! 8a! ec! 25!                                                          |  !! | 
   10085680 |   10090384 | Rdr |79! CE  C7  14                                                           |  !! | 
   10270960 |   10275664 | Rdr |03  56  78! 74                                                           |  !! | 
   10450144 |   10454912 | Rdr |50  00  57  CD                                                           |  ok | HALT
   10580352 |   10581344 | Rdr |52(7)                                                                    |     | WUPA
   10582596 |   10584964 | Tag |04  00                                                                   |     | 
   10592384 |   10602912 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   10604084 |   10607604 | Tag |08  B6  DD                                                               |  ok | 
   10659328 |   10664096 | Rdr |50  00  57  CD                                                           |  ok | HALT
   10714480 |   10715472 | Rdr |52(7)                                                                    |     | WUPA
   10716708 |   10719076 | Tag |04  00                                                                   |     | 
   10726496 |   10737024 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   10738212 |   10741732 | Tag |08  B6  DD                                                               |  ok | 
   10828592 |   10833360 | Rdr |60  04  D1  3D                                                           |  ok | AUTH-A(4)
   10835316 |   10840052 | Tag |D6  8D  77  23                                                           |     | AUTH: nt (lfsr16 index 28254)
   10850912 |   10860288 | Rdr |c4! 68  F8  4E  13! 29  cc! 9a!                                          |     | AUTH: nr ar (enc)
   11028080 |   11032848 | Rdr |E9  89! c4! B9                                                           |     | 
   11210272 |   11214976 | Rdr |3c! 6B  b1! 7E                                                           |  !! | READ SIG
   11384160 |   11388864 | Rdr |69! 45  CF  37!                                                          |  !! | AUTH-69(69)
   11551632 |   11556400 | Rdr |57! AC  ac! 00!                                                          |     | 
   11725648 |   11730352 | Rdr |14! d3! DC  C0                                                           |  !! | 
   11896096 |   11900864 | Rdr |50  00  57  CD                                                           |  ok | HALT
   11941232 |   11942224 | Rdr |52(7)                                                                    |     | WUPA
   11943476 |   11945844 | Tag |04  00                                                                   |     | 
   11953248 |   11963776 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
